,Jnum,ROT_mean,ROT_std,SL_mean,SL_std,RDD_mean,RDD_std,NO_mean,NO_std,NO_max,U_mean,U_std,Ele_mean,Ele_low,WL_mean,WL_std,RDD_mean,RDD_std,NIV,NRT,Stay_mean,Stay_std,class
17,29,208.81034482758622,106.95015063369826,605.3598984895613,482.72887203962983,814.1702433171474,552.1587625280314,0.5,0.5,1,0.9552,0.0143,0.2953,1,344.7916666666667,261.95423092063663,814.1702433171474,552.1587625280314,0,166,605.678938450589,300.67087870640955,1
18,35,220.5,111.67587026748437,402.0075842773814,412.689171281846,622.5075842773814,468.2852291820789,0.6,0.66,2,0.9514,0.0264,0.3694,2,456.2083333333333,299.4829891060407,622.5075842773814,468.2852291820789,0,208,552.7322342281666,378.8111746251666,1
19,31,216.7741935483871,118.3736456276833,627.3889852899142,482.9097089861404,844.1631788383013,547.6151125212145,0.1,0.3,1,0.9247,0.0124,0.8309,0,393.3333333333333,250.73744014185215,844.1631788383013,547.6151125212145,3,180,520.6619441328563,322.3345370469381,0
20,25,219.88,113.97300382108037,744.4554892675588,347.36072296543415,964.3354892675588,365.3934763202456,0.4,0.66,2,0.8271,0.0606,0.6404,0,326.5,228.30954863956086,964.3354892675588,365.3934763202456,0,141,410.10493227701744,213.23892078105666,2
21,24,236.47916666666666,111.64634260007008,663.8623969438204,433.3069954971927,900.341563610487,462.601308901859,0.4,0.66,2,0.9284,0.0215,0.3041,2,334.5416666666667,220.33586657015744,900.341563610487,462.601308901859,0,153,355.46290051329146,200.80555584709842,0
22,49,214.66326530612244,118.31583414634719,248.6403999843371,510.98374428641733,463.30366529045955,569.4954135591004,0.3,0.46,1,0.9531,0.0299,0.4529,4,608.2916666666666,368.53552849608525,463.30366529045955,569.4954135591004,0,292,773.934130941736,457.7999014800411,1
23,34,225.5441176470588,103.27756487531255,418.04073805161033,406.19856475084094,643.5848556986692,454.9090691237305,0.5,0.67,2,0.9426,0.0158,0.7467,0,457.375,308.11632847838496,643.5848556986692,454.9090691237305,0,208,540.4577114499726,291.84353922306974,1
24,18,244.94444444444446,117.0036667147289,820.2336550115542,375.51015277819357,1065.1780994559986,434.59014062416685,0.3,0.46,1,0.8369,0.0738,0.5704,0,259.5833333333333,162.18570032184985,1065.1780994559986,434.59014062416685,0,113,318.565592012667,214.0451556147557,1
25,24,210.66666666666666,120.38087703433446,659.3627613941816,446.78616244268295,870.0294280608482,528.3292505504121,0.6,0.66,2,0.9394,0.0166,0.4122,0,294.75,192.92426190952068,870.0294280608482,528.3292505504121,0,142,410.39926529299936,277.2953728696378,2
26,24,235.58333333333334,115.57696449648702,755.7882328272467,537.8100343355862,991.3715661605802,621.9096663032283,0.5,0.5,1,0.9357,0.0283,0.4833,2,327.0,210.5696638486497,991.3715661605802,621.9096663032283,0,150,412.4841334971293,268.9464735243776,0
